Id,Timestamp,Datetime,minute,Xvib,Yvib,Zvib
651,1669782061.509894,2022-11-30 13:21:01.509894,21,-2362,3372,-339
650,1669782061.666083,2022-11-30 13:21:01.666083,21,-2148,-3285,24
650,1669782061.728578,2022-11-30 13:21:01.728578,21,-2160,-3253,-16
651,1669782061.775455,2022-11-30 13:21:01.775455,21,-2318,3368,-315
651,1669782061.931724,2022-11-30 13:21:01.931724,21,-2362,3360,-335
650,1669782061.947333,2022-11-30 13:21:01.947333,21,-2156,-3289,-4
650,1669782062.166352,2022-11-30 13:21:02.166352,21,-2140,-3281,8
651,1669782062.214997,2022-11-30 13:21:02.214997,21,-2318,3372,-343
650,1669782062.386869,2022-11-30 13:21:02.386869,21,-2148,-3289,-20
651,1669782062.433813,2022-11-30 13:21:02.433813,21,-2362,3340,-275
650,1669782062.433813,2022-11-30 13:21:02.433813,21,-2176,-3293,-20
651,1669782062.449169,2022-11-30 13:21:02.449169,21,-2338,3352,-331
650,1669782062.699371,2022-11-30 13:21:02.699371,21,-2132,-3337,4
651,1669782062.714999,2022-11-30 13:21:02.714999,21,-2338,3344,-331
650,1669782062.886874,2022-11-30 13:21:02.886874,21,-2120,-3273,24
651,1669782062.996249,2022-11-30 13:21:02.996249,21,-2334,3340,-323
650,1669782063.027547,2022-11-30 13:21:03.027547,21,-2144,-3265,-16
651,1669782063.199369,2022-11-30 13:21:03.199369,21,-2346,3376,-323
650,1669782063.230266,2022-11-30 13:21:03.230266,21,-2164,-3293,-12
651,1669782063.230266,2022-11-30 13:21:03.230266,21,-2366,3380,-335
650,1669782063.386873,2022-11-30 13:21:03.386873,21,-2136,-3273,0
651,1669782063.46464,2022-11-30 13:21:03.464640,21,-2374,3416,-279
650,1669782063.46464,2022-11-30 13:21:03.464640,21,-2144,-3265,-16
651,1669782063.668123,2022-11-30 13:21:03.668123,21,-2326,3372,-339
650,1669782063.730623,2022-11-30 13:21:03.730623,21,-2172,-3249,20
651,1669782063.886873,2022-11-30 13:21:03.886873,21,-2358,3332,-343
650,1669782063.949381,2022-11-30 13:21:03.949381,21,-2156,-3301,12
651,1669782063.996249,2022-11-30 13:21:03.996249,21,-2342,3356,-363
650,1669782064.201687,2022-11-30 13:21:04.201687,21,-2180,-3269,-16
651,1669782064.232891,2022-11-30 13:21:04.232891,21,-2318,3416,-371
650,1669782064.389144,2022-11-30 13:21:04.389144,21,-2136,-3281,8
651,1669782064.420437,2022-11-30 13:21:04.420437,21,-2362,3352,-335
650,1669782064.466909,2022-11-30 13:21:04.466909,21,-2156,-3285,-20
651,1669782064.466909,2022-11-30 13:21:04.466909,21,-2370,3352,-287
650,1669782064.686014,2022-11-30 13:21:04.686014,21,-2172,-3273,-56
651,1669782064.74816,2022-11-30 13:21:04.748160,21,-2362,3316,-339
650,1669782064.764143,2022-11-30 13:21:04.764143,21,-2152,-3313,-28
651,1669782064.87352,2022-11-30 13:21:04.873520,21,-2358,3360,-339
650,1669782065.014144,2022-11-30 13:21:05.014144,21,-2136,-3281,-4
651,1669782065.061019,2022-11-30 13:21:05.061019,21,-2326,3348,-371
651,1669782065.186019,2022-11-30 13:21:05.186019,21,-2398,3388,-323
650,1669782065.248161,2022-11-30 13:21:05.248161,21,-2160,-3285,0
650,1669782065.498575,2022-11-30 13:21:05.498575,21,-2144,-3313,-36
651,1669782065.561017,2022-11-30 13:21:05.561017,21,-2346,3344,-319
651,1669782065.686017,2022-11-30 13:21:05.686017,21,-2334,3400,-315
650,1669782065.701643,2022-11-30 13:21:05.701643,21,-2148,-3321,-4
650,1669782065.748562,2022-11-30 13:21:05.748562,21,-2140,-3313,-16
651,1669782065.998544,2022-11-30 13:21:05.998544,21,-2334,3400,-327
650,1669782066.06102,2022-11-30 13:21:06.061020,21,-2176,-3281,-28
651,1669782066.123161,2022-11-30 13:21:06.123161,21,-2306,3384,-307
651,1669782066.154551,2022-11-30 13:21:06.154551,21,-2358,3344,-335
650,1669782066.187695,2022-11-30 13:21:06.187695,21,-2160,-3285,-8
650,1669782066.281308,2022-11-30 13:21:06.281308,21,-2136,-3305,16
651,1669782066.281308,2022-11-30 13:21:06.281308,21,-2342,3408,-355
650,1669782066.437918,2022-11-30 13:21:06.437918,21,-2140,-3277,0
651,1669782066.469182,2022-11-30 13:21:06.469182,21,-2342,3336,-307
650,1669782066.593815,2022-11-30 13:21:06.593815,21,-2172,-3285,-16
651,1669782066.797326,2022-11-30 13:21:06.797326,21,-2342,3336,-359
650,1669782066.812712,2022-11-30 13:21:06.812712,21,-2136,-3289,8
651,1669782066.828189,2022-11-30 13:21:06.828189,21,-2358,3384,-339
650,1669782066.984791,2022-11-30 13:21:06.984791,21,-2144,-3269,0
651,1669782067.047316,2022-11-30 13:21:07.047316,21,-2310,3348,-355
650,1669782067.156665,2022-11-30 13:21:07.156665,21,-2144,-3309,-4
651,1669782067.297302,2022-11-30 13:21:07.297302,21,-2386,3380,-307
650,1669782067.453541,2022-11-30 13:21:07.453541,21,-2124,-3261,24
