Id,Timestamp,Datetime,minute,Xvib,Yvib,Zvib
651,1669786092.445055,2022-11-30 14:28:12.445055,28,-2330,3368,-367
651,1669786092.586029,2022-11-30 14:28:12.586029,28,-2374,3392,-403
651,1669786092.882969,2022-11-30 14:28:12.882969,28,-2370,3364,-367
651,1669786093.023175,2022-11-30 14:28:13.023175,28,-2330,3352,-351
651,1669786093.181854,2022-11-30 14:28:13.181854,28,-2374,3368,-355
651,1669786093.369319,2022-11-30 14:28:13.369319,28,-2318,3360,-299
651,1669786093.431928,2022-11-30 14:28:13.431928,28,-2362,3376,-339
651,1669786093.72837,2022-11-30 14:28:13.728370,28,-2342,3416,-411
651,1669786093.884977,2022-11-30 14:28:13.884977,28,-2338,3392,-299
651,1669786094.181875,2022-11-30 14:28:14.181875,28,-2362,3376,-331
651,1669786094.322471,2022-11-30 14:28:14.322471,28,-2338,3360,-323
651,1669786094.478734,2022-11-30 14:28:14.478734,28,-2414,3372,-303
651,1669786094.650669,2022-11-30 14:28:14.650669,28,-2346,3344,-359
651,1669786094.869355,2022-11-30 14:28:14.869355,28,-2326,3368,-355
651,1669786094.978369,2022-11-30 14:28:14.978369,28,-2350,3356,-379
651,1669786095.184127,2022-11-30 14:28:15.184127,28,-2350,3376,-339
651,1669786095.324783,2022-11-30 14:28:15.324783,28,-2326,3340,-307
651,1669786095.480968,2022-11-30 14:28:15.480968,28,-2354,3380,-291
651,1669786095.793525,2022-11-30 14:28:15.793525,28,-2342,3352,-355
651,1669786095.871628,2022-11-30 14:28:15.871628,28,-2358,3356,-359
651,1669786096.012255,2022-11-30 14:28:16.012255,28,-2350,3396,-307
651,1669786096.371691,2022-11-30 14:28:16.371691,28,-2322,3384,-351
651,1669786096.402523,2022-11-30 14:28:16.402523,28,-2370,3368,-323
651,1669786096.684127,2022-11-30 14:28:16.684127,28,-2378,3376,-367
651,1669786096.871675,2022-11-30 14:28:16.871675,28,-2322,3352,-311
651,1669786096.934127,2022-11-30 14:28:16.934127,28,-2374,3400,-351
651,1669786097.186414,2022-11-30 14:28:17.186414,28,-2346,3340,-351
651,1669786097.373897,2022-11-30 14:28:17.373897,28,-2338,3404,-355
651,1669786097.483286,2022-11-30 14:28:17.483286,28,-2354,3380,-359
651,1669786097.70202,2022-11-30 14:28:17.702020,28,-2326,3364,-287
651,1669786097.873896,2022-11-30 14:28:17.873896,28,-2322,3384,-371
651,1669786098.170771,2022-11-30 14:28:18.170771,28,-2390,3364,-355
651,1669786098.201668,2022-11-30 14:28:18.201668,28,-2354,3400,-375
651,1669786098.48331,2022-11-30 14:28:18.483310,28,-2330,3400,-347
651,1669786098.670767,2022-11-30 14:28:18.670767,28,-2334,3372,-375
651,1669786098.764163,2022-11-30 14:28:18.764163,28,-2326,3368,-315
651,1669786099.030162,2022-11-30 14:28:19.030162,28,-2354,3344,-383
651,1669786099.156553,2022-11-30 14:28:19.156553,28,-2338,3352,-371
651,1669786099.28189,2022-11-30 14:28:19.281890,28,-2342,3356,-359
651,1669786099.547514,2022-11-30 14:28:19.547514,28,-2346,3372,-343
